station_id,stationname,date,daytype,rides
40220,Western-Forest Park,2016-11-05,A,1291
40220,Western-Forest Park,2016-11-06,U,819
40220,Western-Forest Park,2016-11-07,W,1838
40220,Western-Forest Park,2016-11-08,W,1864
40220,Western-Forest Park,2016-11-09,W,1889
40220,Western-Forest Park,2016-11-10,W,1666
40220,Western-Forest Park,2016-11-11,W,1416
40220,Western-Forest Park,2016-11-12,A,1031
40220,Western-Forest Park,2016-11-13,U,844
40220,Western-Forest Park,2016-11-14,W,1760
40220,Western-Forest Park,2016-11-15,W,1915
40220,Western-Forest Park,2016-11-16,W,1934
40220,Western-Forest Park,2016-11-17,W,1961
40220,Western-Forest Park,2016-11-18,W,1887
40220,Western-Forest Park,2016-11-19,A,1131
40220,Western-Forest Park,2016-11-20,U,749
40220,Western-Forest Park,2016-11-21,W,1772
40220,Western-Forest Park,2016-11-22,W,1731
40220,Western-Forest Park,2016-11-23,W,1329
40220,Western-Forest Park,2016-11-24,U,680
40220,Western-Forest Park,2016-11-25,W,848
40220,Western-Forest Park,2016-11-26,A,812
40220,Western-Forest Park,2016-11-27,U,708
40220,Western-Forest Park,2016-11-28,W,1669
40220,Western-Forest Park,2016-11-29,W,1829
40220,Western-Forest Park,2016-11-30,W,1796
40220,Western-Forest Park,2016-12-01,W,1857
40220,Western-Forest Park,2016-12-02,W,1846
40220,Western-Forest Park,2016-12-03,A,946
40220,Western-Forest Park,2016-12-04,U,705
40220,Western-Forest Park,2016-12-05,W,1651
40220,Western-Forest Park,2016-12-06,W,1746
40220,Western-Forest Park,2016-12-07,W,1690
40220,Western-Forest Park,2016-12-08,W,1616
40220,Western-Forest Park,2016-12-09,W,1695
40220,Western-Forest Park,2016-12-10,A,972
40220,Western-Forest Park,2016-12-11,U,659
40220,Western-Forest Park,2016-12-12,W,1617
40220,Western-Forest Park,2016-12-13,W,1573
40220,Western-Forest Park,2016-12-14,W,1503
40220,Western-Forest Park,2016-12-15,W,1290
40220,Western-Forest Park,2016-12-16,W,1527
40220,Western-Forest Park,2016-12-17,A,866
40220,Western-Forest Park,2016-12-18,U,529
40220,Western-Forest Park,2016-12-19,W,1266
40220,Western-Forest Park,2016-12-20,W,1488
40220,Western-Forest Park,2016-12-21,W,1520
40220,Western-Forest Park,2016-12-22,W,1501
40220,Western-Forest Park,2016-12-23,W,1331
40220,Western-Forest Park,2016-12-24,A,645
40220,Western-Forest Park,2016-12-25,U,440
40220,Western-Forest Park,2016-12-26,U,729
40220,Western-Forest Park,2016-12-27,W,966
40220,Western-Forest Park,2016-12-28,W,1070
40220,Western-Forest Park,2016-12-29,W,994
40220,Western-Forest Park,2016-12-30,W,1065
40220,Western-Forest Park,2016-12-31,A,857
40220,Western-Forest Park,2017-01-01,U,560
40220,Western-Forest Park,2017-01-02,U,699
40220,Western-Forest Park,2017-01-03,W,1141
40220,Western-Forest Park,2017-01-04,W,1089
40220,Western-Forest Park,2017-01-05,W,1091
40220,Western-Forest Park,2017-01-06,W,1061
40220,Western-Forest Park,2017-01-07,A,675
40220,Western-Forest Park,2017-01-08,U,564
40220,Western-Forest Park,2017-01-09,W,1532
40220,Western-Forest Park,2017-01-10,W,1626
40220,Western-Forest Park,2017-01-11,W,1662
40220,Western-Forest Park,2017-01-12,W,1627
40220,Western-Forest Park,2017-01-13,W,1646
40220,Western-Forest Park,2017-01-14,A,942
40220,Western-Forest Park,2017-01-15,U,669
40220,Western-Forest Park,2017-01-16,W,775
40220,Western-Forest Park,2017-01-17,W,1712
40220,Western-Forest Park,2017-01-18,W,1760
40220,Western-Forest Park,2017-01-19,W,1783
40220,Western-Forest Park,2017-01-20,W,1846
40220,Western-Forest Park,2017-01-21,A,1155
40220,Western-Forest Park,2017-01-22,U,672
40220,Western-Forest Park,2017-01-23,W,1666
40220,Western-Forest Park,2017-01-24,W,1716
40220,Western-Forest Park,2017-01-25,W,1727
40220,Western-Forest Park,2017-01-26,W,1720
40220,Western-Forest Park,2017-01-27,W,1729
40220,Western-Forest Park,2017-01-28,A,828
40220,Western-Forest Park,2017-01-29,U,755
40220,Western-Forest Park,2017-01-30,W,1626
40220,Western-Forest Park,2017-01-31,W,1768
40220,Western-Forest Park,2017-02-01,W,1768
40220,Western-Forest Park,2017-02-02,W,1782
40220,Western-Forest Park,2017-02-03,W,1347
40220,Western-Forest Park,2017-02-04,A,827
40220,Western-Forest Park,2017-02-05,U,639
40220,Western-Forest Park,2017-02-06,W,1704
40220,Western-Forest Park,2017-02-07,W,1744
40220,Western-Forest Park,2017-02-08,W,1785
40220,Western-Forest Park,2017-02-09,W,1687
40220,Western-Forest Park,2017-02-10,W,1747
40220,Western-Forest Park,2017-02-11,A,964
40220,Western-Forest Park,2017-02-12,U,659
40220,Western-Forest Park,2017-02-13,W,1660
40220,Western-Forest Park,2017-02-14,W,1819
40220,Western-Forest Park,2017-02-15,W,1890
40220,Western-Forest Park,2017-02-16,W,1801
40220,Western-Forest Park,2017-02-17,W,1831
40220,Western-Forest Park,2017-02-18,A,1109
40220,Western-Forest Park,2017-02-19,U,881
40220,Western-Forest Park,2017-02-20,W,1279
40220,Western-Forest Park,2017-02-21,W,1776
40220,Western-Forest Park,2017-02-22,W,1965
40220,Western-Forest Park,2017-02-23,W,1893
40220,Western-Forest Park,2017-02-24,W,1868
40220,Western-Forest Park,2017-02-25,A,937
40220,Western-Forest Park,2017-02-26,U,751
40220,Western-Forest Park,2017-02-27,W,1760
40220,Western-Forest Park,2017-02-28,W,1832
40220,Western-Forest Park,2017-03-01,W,1860
40220,Western-Forest Park,2017-03-02,W,1788
40220,Western-Forest Park,2017-03-03,W,1831
40220,Western-Forest Park,2017-03-04,A,927
40220,Western-Forest Park,2017-03-05,U,748
40220,Western-Forest Park,2017-03-06,W,1670
40220,Western-Forest Park,2017-03-07,W,1753
40220,Western-Forest Park,2017-03-08,W,1758
40220,Western-Forest Park,2017-03-09,W,1757
40220,Western-Forest Park,2017-03-10,W,1753
40220,Western-Forest Park,2017-03-11,A,1027
40220,Western-Forest Park,2017-03-12,U,644
40220,Western-Forest Park,2017-03-13,W,1631
40220,Western-Forest Park,2017-03-14,W,1552
40220,Western-Forest Park,2017-03-15,W,1776
40220,Western-Forest Park,2017-03-16,W,1704
40220,Western-Forest Park,2017-03-17,W,1778
40220,Western-Forest Park,2017-03-18,A,1001
40220,Western-Forest Park,2017-03-19,U,771
40220,Western-Forest Park,2017-03-20,W,1663
40220,Western-Forest Park,2017-03-21,W,1678
40220,Western-Forest Park,2017-03-22,W,1686
40220,Western-Forest Park,2017-03-23,W,1664
40220,Western-Forest Park,2017-03-24,W,1782
40220,Western-Forest Park,2017-03-25,A,865
40220,Western-Forest Park,2017-03-26,U,698
40220,Western-Forest Park,2017-03-27,W,1700
40220,Western-Forest Park,2017-03-28,W,1704
40220,Western-Forest Park,2017-03-29,W,1742
40220,Western-Forest Park,2017-03-30,W,1632
40220,Western-Forest Park,2017-03-31,W,1795
40220,Western-Forest Park,2017-04-01,A,1034
40220,Western-Forest Park,2017-04-02,U,760
40220,Western-Forest Park,2017-04-03,W,1680
40220,Western-Forest Park,2017-04-04,W,1775
40220,Western-Forest Park,2017-04-05,W,1526
40220,Western-Forest Park,2017-04-06,W,1763
40220,Western-Forest Park,2017-04-07,W,1536
40220,Western-Forest Park,2017-04-08,A,1040
40220,Western-Forest Park,2017-04-09,U,777
40220,Western-Forest Park,2017-04-10,W,1333
40220,Western-Forest Park,2017-04-11,W,1501
40220,Western-Forest Park,2017-04-12,W,1461
40220,Western-Forest Park,2017-04-13,W,1381
40220,Western-Forest Park,2017-04-14,W,1302
40220,Western-Forest Park,2017-04-15,A,1021
40220,Western-Forest Park,2017-04-16,U,709
40220,Western-Forest Park,2017-04-17,W,1626
40220,Western-Forest Park,2017-04-18,W,1707
40220,Western-Forest Park,2017-04-19,W,1759
40220,Western-Forest Park,2017-04-20,W,1582
40220,Western-Forest Park,2017-04-21,W,1733
40220,Western-Forest Park,2017-04-22,A,968
40220,Western-Forest Park,2017-04-23,U,693
40220,Western-Forest Park,2017-04-24,W,1739
40220,Western-Forest Park,2017-04-25,W,1770
40220,Western-Forest Park,2017-04-26,W,1733
40220,Western-Forest Park,2017-04-27,W,1730
40220,Western-Forest Park,2017-04-28,W,1748
