LAT,LONG
            44.921708,           -93.577233
            44.921802,           -93.558194
            44.921894,           -93.539155
            44.921982,           -93.520116
            44.922067,           -93.501076
            44.922149,           -93.482037
            44.922228,           -93.462998
            44.922304,           -93.443958
            44.922376,           -93.424919
            44.922445,           -93.405879
            44.922511,           -93.386839
            44.922574,           -93.367800
            44.922634,           -93.348760
            44.922691,           -93.329720
            44.922744,           -93.310680
            44.922794,           -93.291640
            44.922841,           -93.272600
            44.922885,           -93.253560
            44.922926,           -93.234520
            44.922963,           -93.215480
            44.922998,           -93.196440
            44.923029,           -93.177399
            44.923057,           -93.158359
            44.923082,           -93.139319
            44.923103,           -93.120278
            44.923122,           -93.101238
            44.923137,           -93.082198
            44.923149,           -93.063158
            44.923158,           -93.044117
            44.923164,           -93.025077
            44.923166,           -93.006036
            44.923166,           -92.986996
            44.907187,           -93.748403
            44.907310,           -93.729370
            44.907430,           -93.710336
            44.907547,           -93.691302
            44.907661,           -93.672268
            44.907771,           -93.653234
            44.907878,           -93.634200
            44.907983,           -93.615166
            44.908083,           -93.596132
            44.908181,           -93.577097
            44.908276,           -93.558063
            44.908367,           -93.539028
            44.908456,           -93.519994
            44.908541,           -93.500959
            44.908623,           -93.481924
            44.908701,           -93.462889
            44.908777,           -93.443854
            44.908849,           -93.424819
            44.908918,           -93.405784
            44.908984,           -93.386749
            44.909047,           -93.367713
            44.909107,           -93.348678
            44.909164,           -93.329643
            44.909217,           -93.310607
            44.909267,           -93.291572
            44.909314,           -93.272536
            44.909358,           -93.253500
            44.909399,           -93.234465
            44.909436,           -93.215429
            44.909470,           -93.196393
            44.909502,           -93.177358
            44.909530,           -93.158322
            44.909554,           -93.139286
            44.909637,           -93.025071
            44.909639,           -93.006035
            44.909639,           -92.986999
            44.893661,           -93.748228
            44.893784,           -93.729199
            44.893904,           -93.710169
            44.894021,           -93.691140
            44.894134,           -93.672111
            44.894245,           -93.653081
            44.894352,           -93.634052
            44.894456,           -93.615022
            44.894557,           -93.595992
            44.894655,           -93.576962
            44.894749,           -93.557932
            44.894841,           -93.538902
            44.894929,           -93.519872
            44.895014,           -93.500841
            44.895096,           -93.481811
            44.895174,           -93.462781
            44.895250,           -93.443750
            44.895322,           -93.424719
            44.895392,           -93.405689
            44.895458,           -93.386658
            44.895520,           -93.367627
            44.895580,           -93.348596
            44.895637,           -93.329565
            44.895690,           -93.310534
            44.895740,           -93.291503
            44.895787,           -93.272472
            44.895831,           -93.253441
            44.895872,           -93.234410
            44.895909,           -93.215379
            44.895943,           -93.196347
            44.895974,           -93.177316
            44.896002,           -93.158285
            44.896109,           -93.025065
            44.896112,           -93.006034
            44.896111,           -92.987002
            44.881402,           -93.519750
            44.881487,           -93.500724
            44.881569,           -93.481698
            44.881648,           -93.462672
            44.881723,           -93.443646
            44.881796,           -93.424620
            44.881865,           -93.405594
            44.881931,           -93.386567
            44.881993,           -93.367541
            44.882053,           -93.348515
            44.882110,           -93.329488
            44.882163,           -93.310462
            44.882213,           -93.291435
            44.882260,           -93.272408
            44.882304,           -93.253382
            44.882344,           -93.234355
            44.882382,           -93.215328
            44.882416,           -93.196301
            44.867875,           -93.519628
            44.867960,           -93.500607
            44.868042,           -93.481585
            44.868121,           -93.462564
            44.868196,           -93.443542
            44.868269,           -93.424520
            44.868338,           -93.405499
            44.868404,           -93.386477
            44.868466,           -93.367455
            44.868526,           -93.348433
            44.868583,           -93.329411
            44.868636,           -93.310389
            44.868686,           -93.291367
            44.868733,           -93.272344
            44.868777,           -93.253322
            44.868817,           -93.234300
            44.868855,           -93.215278
            44.868889,           -93.196255
            44.854349,           -93.519506
            44.854434,           -93.500489
            44.854515,           -93.481472
            44.854594,           -93.462455
            44.854669,           -93.443438
            44.854742,           -93.424421
            44.854811,           -93.405404
            44.854877,           -93.386386
            44.854939,           -93.367369
            44.854999,           -93.348351
            44.855055,           -93.329334
            44.855109,           -93.310316
            44.855159,           -93.291298
            44.855206,           -93.272281
            44.855249,           -93.253263
            44.855290,           -93.234245
            44.855327,           -93.215227
            44.840822,           -93.519385
            44.840907,           -93.500372
            44.840989,           -93.481360
            44.841067,           -93.462347
            44.841142,           -93.443334
            44.841215,           -93.424322
            44.841284,           -93.405309
            44.841350,           -93.386296
            44.841412,           -93.367283
            44.841472,           -93.348270
            44.841528,           -93.329257
            44.841582,           -93.310243
            44.841632,           -93.291230
            44.841679,           -93.272217
            44.841722,           -93.253204
            44.841763,           -93.234190
            44.841800,           -93.215177
            44.827295,           -93.519263
            44.827380,           -93.500255
            44.827462,           -93.481247
            44.827540,           -93.462239
            44.827615,           -93.443231
            44.827688,           -93.424222
            44.827757,           -93.405214
            44.827823,           -93.386205
            44.827885,           -93.367197
            44.827945,           -93.348188
            44.828001,           -93.329180
            44.828054,           -93.310171
            44.828104,           -93.291162
            44.828151,           -93.272153
            44.828195,           -93.253144
            44.828236,           -93.234136
            44.813768,           -93.519142
            44.813853,           -93.500138
            44.813935,           -93.481135
            44.814013,           -93.462131
            44.814088,           -93.443127
            44.814161,           -93.424123
            44.814230,           -93.405119
            44.814295,           -93.386115
            44.814358,           -93.367111
            44.814418,           -93.348107
            44.814474,           -93.329103
            44.814527,           -93.310098
            44.814577,           -93.291094
            44.814624,           -93.272090
            44.814668,           -93.253085
            44.800768,           -93.386025
            44.800831,           -93.367025
            44.800890,           -93.348026
            44.800947,           -93.329026
            44.801000,           -93.310026
            44.801050,           -93.291026
